
 RUN  v3.1.4 /private/tmp/viborm-se

 ✓ |provider-pglite| tests/providers/local/pglite-nested-writes.test.ts (126 tests) 61269ms
   ✓ PGlite Driver > PGlite nested write behavior > declares an atomic strategy for nested writes  725ms
   ✓ PGlite Driver > PGlite nested write behavior > rejects default-only createMany duplicate skipping before writing  508ms
   ✓ PGlite Driver > PGlite nested write behavior > rejects nested default-only duplicate skipping before the parent write  499ms
   ✓ PGlite Driver > PGlite nested write behavior > create derives to-one and to-many foreign keys  496ms
   ✓ PGlite Driver > PGlite nested write behavior > create connects and connect-or-creates nullable children  493ms
   ✓ PGlite Driver > PGlite nested write behavior > update creates, createManys, and connects children  472ms
   ✓ PGlite Driver > PGlite nested write behavior > update disconnects and sets nullable children  495ms
   ✓ PGlite Driver > PGlite nested write behavior > update and updateMany keep child mutations parent-correlated  487ms
   ✓ PGlite Driver > PGlite nested write behavior > delete and deleteMany keep child mutations parent-correlated  484ms
   ✓ PGlite Driver > PGlite nested write behavior > to-many upsert creates and updates the current parent's child  509ms
   ✓ PGlite Driver > PGlite nested write behavior > to-one upsert creates and updates the current target  464ms
   ✓ PGlite Driver > PGlite nested write behavior > to-one nested update modifies the connected author  465ms
   ✓ PGlite Driver > PGlite nested write behavior > to-one disconnect true nulls the foreign key, both rows survive  483ms
   ✓ PGlite Driver > PGlite nested write behavior > to-one delete true deletes the related row  481ms
   ✓ PGlite Driver > PGlite nested write behavior > to-one delete true (FK-holder side) nulls the FK then deletes the author  474ms
   ✓ PGlite Driver > PGlite nested write behavior > inverse-side to-one upsert: absent creates, found updates, witness survives  483ms
   ✓ PGlite Driver > PGlite nested write behavior > explicit join rows work as a practical many-to-many case  471ms
   ✓ PGlite Driver > PGlite nested write behavior > unsupported nested create keys reject before parent mutation  471ms
   ✓ PGlite Driver > PGlite nested write behavior > nested child failures roll back parent and prior children  486ms
   ✓ PGlite Driver > PGlite nested write behavior > to-many updates cannot target another parent's child  555ms
   ✓ PGlite Driver > PGlite nested write behavior > non-nullable child foreign keys reject disconnect atomically  474ms
   ✓ PGlite Driver > PGlite nested write behavior > nested create propagates foreign keys through mapped columns  471ms
   ✓ PGlite Driver > PGlite nested write behavior > nested create derives mapped foreign keys for createMany and connect  471ms
   ✓ PGlite Driver > PGlite nested write behavior > set keeping all required-FK children is a no-op and succeeds  470ms
   ✓ PGlite Driver > PGlite nested write behavior > set on required-FK children rejects only when rows would be orphaned  472ms
   ✓ PGlite Driver > PGlite nested write behavior > set disconnects only nullable-FK children leaving the set  482ms
   ✓ PGlite Driver > PGlite nested write behavior > connect with a list of targets reparents every one of them  474ms
   ✓ PGlite Driver > PGlite nested write behavior > a connect list with one absent target writes nothing  473ms
   ✓ PGlite Driver > PGlite nested write behavior > disconnect with a list nulls every one of them  475ms
   ✓ PGlite Driver > PGlite nested write behavior > a disconnect list naming ANOTHER parent's child nulls nothing  461ms
   ✓ PGlite Driver > PGlite nested write behavior > a create tree's connect list reparents every one of them  467ms
   ✓ PGlite Driver > PGlite nested write behavior > delete with a relation projection > a to-many relation inside `select` comes back, and the row is gone  481ms
   ✓ PGlite Driver > PGlite nested write behavior > delete with a relation projection > a to-one relation inside `select` comes back, and the row is gone  478ms
   ✓ PGlite Driver > PGlite nested write behavior > delete with a relation projection > the `include` spelling is unaffected  471ms
   ✓ PGlite Driver > PGlite compound key behavior > push enforces the compound primary key  448ms
   ✓ PGlite Driver > PGlite compound key behavior > push enforces the compound unique constraint  468ms
   ✓ PGlite Driver > PGlite compound key behavior > findUnique resolves compound id and compound unique selectors  449ms
   ✓ PGlite Driver > PGlite compound key behavior > nested create from a compound-id parent populates all FK columns  492ms
   ✓ PGlite Driver > PGlite compound key behavior > connect from a compound-id parent populates all FK columns  459ms
   ✓ PGlite Driver > PGlite compound key behavior > include correlates on every compound FK column, not just one  459ms
   ✓ PGlite Driver > PGlite compound key behavior > is null treats a partially-null compound FK as no relation  471ms
   ✓ PGlite Driver > PGlite compound key behavior > update and delete by compound id target only that row  460ms
   ✓ PGlite Driver > PGlite compound key behavior > upsert on a compound-id model takes both branches  459ms
   ✓ PGlite Driver > PGlite advanced nested write behavior > connectOrCreate create branch accepts recursive nested writes  492ms
   ✓ PGlite Driver > PGlite advanced nested write behavior > top-level upsert guards gate nested update branch  492ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > the delegation seam stores the JSON document, not the ORM's envelope  502ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > a JSON document that LOOKS like the update envelope round-trips verbatim  461ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > a depth-2 to-one chain writes both JSON columns exactly  484ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > a depth-3 to-one chain writes all three JSON columns exactly  464ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > a delegated TO-MANY update target stores its JSON document exactly  475ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > the documented `data`-column escape stores the document at the delegation seam  487ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > JsonNull writes the JSON null document through the delegation seam  558ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > DbNull writes the database NULL through the delegation seam  506ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > a sentinel at depth 2 writes the same two nulls  507ms
   ✓ PGlite Driver > PGlite (tx) delegated nested update — JSON write envelope > the non-delegated depth-1 target is unchanged by all of this  470ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > the delegation seam stores the JSON document, not the ORM's envelope  479ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > a JSON document that LOOKS like the update envelope round-trips verbatim  497ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > a depth-2 to-one chain writes both JSON columns exactly  489ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > a depth-3 to-one chain writes all three JSON columns exactly  475ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > a delegated TO-MANY update target stores its JSON document exactly  509ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > the documented `data`-column escape stores the document at the delegation seam  471ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > JsonNull writes the JSON null document through the delegation seam  482ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > DbNull writes the database NULL through the delegation seam  467ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > a sentinel at depth 2 writes the same two nulls  476ms
   ✓ PGlite Driver > PGlite (batch) delegated nested update — JSON write envelope > the non-delegated depth-1 target is unchanged by all of this  512ms
